trip_id,arrival_time,departure_time,stop_id,stop_sequence
T201,06:00:00,06:02:00,1,1
T201,06:45:00,06:47:00,11,2
T201,07:30:00,07:32:00,2,3

T202,07:00:00,07:02:00,1,1
T202,07:40:00,07:42:00,4,2
T202,08:30:00,08:32:00,3,3

T203,05:30:00,05:32:00,1,1
T203,06:50:00,06:52:00,10,2
T203,08:30:00,08:32:00,6,3
T203,09:10:00,09:12:00,5,4

T204,09:00:00,09:02:00,5,1
T204,09:15:00,09:17:00,7,2

T205,06:20:00,06:22:00,8,1
T205,07:10:00,07:12:00,6,2

T206,08:00:00,08:02:00,9,1
T206,08:45:00,08:47:00,8,2

T207,10:00:00,10:02:00,11,1
T207,11:30:00,11:32:00,1,2

T208,07:30:00,07:32:00,12,1
T208,08:20:00,08:22:00,6,2

T209,06:45:00,06:47:00,13,1
T209,07:30:00,07:32:00,14,2

T210,05:45:00,05:47:00,15,1
T210,07:10:00,07:12:00,10,2

T211,12:00:00,12:02:00,3,1
T211,12:45:00,12:47:00,2,2
T211,13:30:00,13:32:00,11,3

T212,14:00:00,14:02:00,7,1
T212,14:30:00,14:32:00,6,2
T212,15:20:00,15:22:00,5,3
